threshold,alpha,k,cost_bp,mean_gross_pnl_bp,mean_net_pnl_bp,gross_sharpe,net_sharpe,mean_turnover,avg_abs_position,n_ticker_days
0.001,0.2,200,0,0.306495407426434,0.306495407426434,0.16833567850731268,0.16833567850731268,0.029898480892609717,0.04549058894104599,12188
0.002,0.75,50,0,0.20741731962357693,0.20741731962357693,0.16816312540155726,0.16816312540155726,0.019502979521513183,0.008627325597776266,12188
0.003,1.0,500,0,0.6090235766169221,0.6090235766169221,0.16786105293336315,0.16786105293336315,0.06805699803490949,0.022244196585683582,12188
0.0015,0.2,500,0,0.4127950204500618,0.4127950204500618,0.1675290958061628,0.1675290958061628,0.03972979580683849,0.05832461917439665,12188
0.0005,0.1,100,0,0.15872482281536043,0.15872482281536043,0.16683207490775717,0.16683207490775717,0.010107453745681885,0.030808185516555474,12188
0.003,1.0,100,0,0.3493791384424236,0.3493791384424236,0.16649389260717876,0.16649389260717876,0.030378072029186305,0.010044156571629775,12188
0.0005,0.1,50,0,0.09206876383186582,0.09206876383186582,0.16595100067641913,0.16595100067641913,0.00519115999995635,0.015849844538748416,12188
0.003,0.75,50,0,0.19631787026003425,0.19631787026003425,0.16591806310325966,0.16591806310325966,0.012166983869516089,0.005399817979851845,12188
0.002,1.0,100,0,0.36498445188277406,0.36498445188277406,0.16521854222766255,0.16521854222766255,0.05051904729178653,0.016570048262803453,12188
0.0015,0.2,100,0,0.19611462408096142,0.19611462408096142,0.16393419259218955,0.16393419259218955,0.012582654700417478,0.01919044786671968,12188
0.002,1.0,200,0,0.5174427547766931,0.5174427547766931,0.16355214145574243,0.16355214145574243,0.08727657011697122,0.02853949476096723,12188
0.0015,0.2,200,0,0.2911755100796286,0.2911755100796286,0.1630916972206564,0.1630916972206564,0.02261729372808454,0.03412512869061311,12188
0.002,0.5,50,0,0.16931033670252663,0.16931033670252663,0.16298105111604855,0.16298105111604855,0.012822792596026115,0.008389937862597893,12188
0.002,0.75,100,0,0.31412259177714447,0.31412259177714447,0.1612883741087844,0.1612883741087844,0.03674313995071082,0.016241198339782326,12188
0.002,0.3,50,0,0.13354036200669545,0.13354036200669545,0.16070005519712469,0.16070005519712469,0.007712824542333479,0.008134744313563164,12188
0.003,0.5,50,0,0.15847975156073696,0.15847975156073696,0.160349535880691,0.160349535880691,0.008080496688252677,0.005256690292315639,12188
0.003,0.3,50,0,0.12502703748839628,0.12502703748839628,0.16003756114629095,0.16003756114629095,0.004897761210814032,0.005079037227261593,12188
0.003,0.75,100,0,0.2922599638779205,0.2922599638779205,0.15985961028880707,0.15985961028880707,0.022265107444967076,0.009874165837146134,12188
0.003,0.75,200,0,0.3982780771429315,0.3982780771429315,0.15976802972606585,0.15976802972606585,0.03634651060434584,0.015974960670136287,12188
0.002,0.75,200,0,0.4395459613958339,0.4395459613958339,0.1586613464598228,0.1586613464598228,0.06383519910678499,0.028033239661516766,12188
0.003,0.2,50,0,0.10404963648630579,0.10404963648630579,0.15847805335492798,0.15847805335492798,0.0033045840816979853,0.004969842794531191,12188
0.002,0.2,50,0,0.11135207098291779,0.11135207098291779,0.15780635416661248,0.15780635416661248,0.005184911006976616,0.007977908555365044,12188
0.003,0.75,500,0,0.48037780190397705,0.48037780190397705,0.1564756156417571,0.1564756156417571,0.050918842338199155,0.02194889595808956,12188
0.002,0.5,100,0,0.25968565800070714,0.25968565800070714,0.15580495816469903,0.15580495816469903,0.02421201445784711,0.015791455389839604,12188
0.002,1.0,500,0,0.6643277308413407,0.6643277308413407,0.154823433265474,0.154823433265474,0.1384951024290686,0.04505710057675656,12188
0.003,0.3,500,0,0.3280844337887016,0.3280844337887016,0.15402870180264389,0.15402870180264389,0.02078550984146748,0.020916347343668727,12188
0.003,0.5,100,0,0.23837785710928378,0.23837785710928378,0.15390897949607704,0.15390897949607704,0.014833365365805158,0.009616856810435755,12188
0.003,0.5,200,0,0.3252713480579153,0.3252713480579153,0.1531566736146398,0.1531566736146398,0.024352620610678524,0.01558604508638568,12188
0.003,0.3,100,0,0.19205569673680925,0.19205569673680925,0.15313104215558054,0.15313104215558054,0.009008426531972463,0.009322156172184067,12188
0.002,0.5,200,0,0.3653349034771307,0.3653349034771307,0.1528505036486152,0.1528505036486152,0.0422644043640183,0.027291796367740945,12188
0.003,0.2,500,0,0.27880658366255867,0.27880658366255867,0.15269438692681178,0.15269438692681178,0.014007361640889355,0.02056446890959332,12188
0.002,0.3,100,0,0.20878458681261172,0.20878458681261172,0.152624966620463,0.152624966620463,0.01458321560933321,0.01534485251046776,12188
0.003,0.3,200,0,0.26609547386864113,0.26609547386864113,0.1522585810252968,0.1522585810252968,0.014814691400442757,0.015152798518039133,12188
